"category_group_id";"category_group";"category_count";"attribute_source_category_id"
"2439";"Filterköpfe";"2";"17502"
"2440";"Filtermaterialien";"8";"17506"
"2441";"Fingerringe";"19";"17526"
"2442";"Finnen";"4";"17532"
"2443";"Finnen-Adapter";"1";"17535"
"2444";"Fischtöter";"1";"17536"
"2445";"Fitnessgeräte-Computer";"1";"17537"
"2446";"Fitnessringe";"7";"17541"
"2447";"Fitnessrollen";"4";"17546"
"2448";"Fitnessstäbe";"2";"17550"
"2449";"Fitnesstracker";"8";"17552"
"2450";"Flachverbinder";"7";"17562"
"2451";"Flambierbrenner";"1";"17566"
"2452";"Flaschenhalter";"9";"17568"
"2456";"Flaschenöffner";"2";"17580"
"2453";"Flaschensauger";"2";"17577"
"2454";"Flaschenträger";"1";"17578"
"2455";"Flaschenverschlüsse";"1";"17579"
"2457";"Fleischgabeln";"2";"17583"
"2458";"Fleischklopfer";"3";"17584"
"2459";"Fliegen";"2";"17587"
"2460";"Fliesen";"7";"17592"
"2461";"Fliesenaufkleber";"1";"17596"
"2462";"Fliesenschneider";"3";"17597"
"2463";"Flipchartblöcke";"1";"17600"
"2464";"Flossen";"2";"17602"
"2465";"Flug-Drachen";"2";"17604"
"2466";"Flüssigkeitsbehälter";"15";"17618"
"2467";"Folien";"3";"17620"
"2468";"Folienbeutel";"13";"17627"
"2469";"Fondues";"2";"17637"
"2470";"Forken";"3";"17638"
"2471";"Formtrennmittel";"4";"17644"
"2472";"Formularblöcke";"2";"17645"
"2473";"Foto-Filme";"5";"17649"
"2474";"Fotoalben";"3";"17653"
"2475";"Fotohintergründe";"4";"17656"
"2476";"Fotokameras";"19";"17673"
"2480";"Fräsköpfe";"22";"17703"
"2481";"Fräsmaschinen";"16";"17726"
"2477";"Frisierköpfe";"3";"17678"
"2478";"Fritteusen";"7";"17681"
"2479";"Frostschutzmittel";"5";"17688"
"2482";"Frühstücks-Sets";"1";"17731"
"2483";"Fugenkratzer";"1";"17732"
"2484";"Fugenmörtel";"2";"17734"
"2485";"Fummelspielzeuge";"10";"17735"
"2486";"Funkgeräte";"3";"17747"
"2487";"Funksteuerungsmodule";"9";"17755"
"2488";"Funktionskissen";"38";"17790"
"2489";"Funkübertragungsgeräte";"1";"17795"
"2495";"Fußbäder";"1";"17819"
"2490";"Fusselrasierer";"4";"17796"
"2496";"Fußketten";"4";"17821"
"2499";"Fußsäcke";"1";"17826"
"2497";"Fußschlaufen";"1";"17824"
"2498";"Fußstützen";"1";"17825"
"2500";"Fußtrainer";"4";"17829"
"2501";"Fußtritte";"2";"17832"
"2491";"Futter-Wurfhilfen";"3";"17800"
"2492";"Futterautomaten";"13";"17813"
"2493";"Futterbälle";"1";"17816"
"2494";"Futterkörbe";"2";"17818"
"2504";"Gabelbaumköpfe";"1";"17844"
"2505";"Garagen";"1";"17845"
"2506";"Garderobenhalter";"3";"17847"
"2507";"Garderobenpaneele";"3";"17850"
"2508";"Garderobenständer";"3";"17852"
"2509";"Gardinen";"31";"17881"
"2510";"Gardinenbefestigungen";"42";"17923"
"2511";"Gardinenstangen";"29";"17956"
"2512";"Gardinenstangenendstücke";"1";"17957"
"2513";"Gardinenstangenhalterungen";"26";"17981"
"2514";"Garne";"10";"17989"
"2515";"Garten-Multifunktionsgeräte";"1";"17994"
"2516";"Gartenbrausen";"12";"18006"
"2517";"Gartenfiguren";"5";"18010"
"2518";"Gartengeräte-Deflektoren";"3";"18012"
"2519";"Gartenhaus-Anbaudächer";"3";"18016"
"2520";"Gartenhaus-Fundamente";"3";"18019"
"2521";"Gartenhaus-Fußböden";"4";"18022"
"2522";"Gartenhaus-Seitenwände";"8";"18032"
"2523";"Gartenhaus-Terrassen";"1";"18033"
"2524";"Gartenhäuser";"2";"18035"
"2525";"Gartenliegen";"5";"18037"
"2526";"Gartenpflege-Sets";"1";"18041"
"2527";"Gartenscheren-Maschinen";"12";"18045"
"2528";"Gartenstecker";"1";"18054"
"2529";"Gartenstege";"3";"18056"
"2530";"Gasdruckregler";"4";"18058"
"2531";"Gase";"4";"18063"
"2532";"Gaskartuschen";"3";"18066"
"2533";"Gaskocher";"2";"18069"
"2534";"Gebäckpressen";"2";"18071"
"2535";"Gefahrenmelder";"22";"18085"
"2536";"Gefrierschränke";"2";"18096"
"2537";"Gefriertruhen";"1";"18097"
